"Notes"	"State"	"State Code"	"County"	"County Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	14	5272996	Unreliable
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	741249	Unreliable
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	57	741249	7.6897
	"Alabama"	"01"	"Lawrence County, AL"	"01079"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	32	270984	11.8088
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	1166243	Unreliable
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	50	1166243	4.2873
	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	47	687261	6.8387
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	12	2722664	Unreliable
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	23	2722664	0.8448
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	169	2722664	6.2072
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	23	2722664	0.8448
	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	80	749367	10.6757
	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	10	749367	Unreliable
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	11	3305292	Unreliable
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	13	3305292	Unreliable
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	140	3305292	4.2356
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	248	3305292	7.5031
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	31	3305292	0.9379
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	21	1825979	1.1501
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	68	1825979	3.7240
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	17	955445	Unreliable
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	116	955445	12.1409
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	14	955445	Unreliable
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	12	955445	Unreliable
	"Alabama"	"01"	"Pickens County, AL"	"01107"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	158895	Unreliable
	"Alabama"	"01"	"Pike County, AL"	"01109"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	263479	Unreliable
	"Alabama"	"01"	"Russell County, AL"	"01113"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	37	447788	8.2628
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	28	677539	4.1326
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	77	677539	11.3647
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	11	677539	Unreliable
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	14	677539	Unreliable
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	70	1594752	4.3894
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	161	1594752	10.0956
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	17	1594752	Unreliable
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	17	1594752	Unreliable
	"Alabama"	"01"	"Talladega County, AL"	"01121"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	654406	Unreliable
	"Alabama"	"01"	"Talladega County, AL"	"01121"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	45	654406	6.8765
	"Alabama"	"01"	"Tallapoosa County, AL"	"01123"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	331118	Unreliable
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	37	1578357	2.3442
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	163	1578357	10.3272
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	13	1578357	Unreliable
	"Alabama"	"01"	"Walker County, AL"	"01127"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	43	531850	8.0850
	"Alabama"	"01"	"Walker County, AL"	"01127"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	158	531850	29.7076
	"Alabama"	"01"	"Winston County, AL"	"01133"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	194479	Unreliable
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	31	2355892	1.3158
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	148	2355892	6.2821
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	187	2355892	7.9375
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	34	2355892	1.4432
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	10	2355892	Unreliable
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	14	786259	Unreliable
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	26	786259	3.3068
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	42	786259	5.3418
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	10	786259	Unreliable
	"Alaska"	"02"	"Juneau Borough, AK"	"02110"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	255784	Unreliable
	"Alaska"	"02"	"Juneau Borough, AK"	"02110"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	22	255784	8.6010
	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	20	449727	4.4471
	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	44	449727	9.7837
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	48	739999	6.4865
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	68	739999	9.1892
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	11	739999	Unreliable
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	22	573241	3.8378
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	13	1039175	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	51	1039175	4.9077
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	58	1039175	5.5814
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	15	1039175	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	29	1083591	2.6763
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	62	1083591	5.7217
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	20	1083591	1.8457
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	12	1083591	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	16	1083591	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	11	426214	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	30	426214	7.0387
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	34	426214	7.9772
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	23	299052	7.6910
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	27	299052	9.0285
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	15	31478920	Unreliable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	26	31478920	0.0826
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	12	31478920	Unreliable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"	"F17.9"	91	31478920	0.2891
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	118	31478920	0.3749
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	25	31478920	0.0794
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	20	31478920	0.0635
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	531	31478920	1.6868
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	1181	31478920	3.7517
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	2135	31478920	6.7823
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	12	31478920	Unreliable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	98	31478920	0.3113
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	81	31478920	0.2573
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	510	31478920	1.6201
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	69	31478920	0.2192
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	93	31478920	0.2954
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	314	31478920	0.9975
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	34	1616773	2.1030
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	167	1616773	10.3292
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	134	1616773	8.2881
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	16	1616773	Unreliable
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	44	1616773	2.7215
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	42	1616773	2.5978
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	12	860838	Unreliable
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	36	860838	4.1820
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	66	860838	7.6669
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	18	860838	Unreliable
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	22	7916679	0.2779
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	138	7916679	1.7432
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	679	7916679	8.5768
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	445	7916679	5.6210
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	55	7916679	0.6947
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	54	7916679	0.6821
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	118	7916679	1.4905
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	14	7916679	Unreliable
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	25	7916679	0.3158
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	36	7916679	0.4547
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	62	3029120	2.0468
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	94	3029120	3.1032
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	116	3029120	3.8295
