"Notes"	"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"2007"	"2007"	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	122946	Unreliable
	"2007"	"2007"	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	11	122946	Unreliable
	"2007"	"2007"	"California"	"06"	"Alameda County, CA"	"06001"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	17	1455715	Unreliable
	"2007"	"2007"	"California"	"06"	"Alameda County, CA"	"06001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	44	1455715	3.0
	"2007"	"2007"	"California"	"06"	"Alameda County, CA"	"06001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	99	1455715	6.8
	"2007"	"2007"	"California"	"06"	"Alameda County, CA"	"06001"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	18	1455715	Unreliable
	"2007"	"2007"	"California"	"06"	"Butte County, CA"	"06007"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	217469	Unreliable
	"2007"	"2007"	"California"	"06"	"Butte County, CA"	"06007"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	33	217469	15.2
	"2007"	"2007"	"California"	"06"	"Contra Costa County, CA"	"06013"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	18	1009152	Unreliable
	"2007"	"2007"	"California"	"06"	"Contra Costa County, CA"	"06013"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	34	1009152	3.4
	"2007"	"2007"	"California"	"06"	"Contra Costa County, CA"	"06013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	23	1009152	2.3
	"2007"	"2007"	"California"	"06"	"Contra Costa County, CA"	"06013"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	10	1009152	Unreliable
	"2007"	"2007"	"California"	"06"	"El Dorado County, CA"	"06017"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	177694	Unreliable
	"2007"	"2007"	"California"	"06"	"El Dorado County, CA"	"06017"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	177694	Unreliable
	"2007"	"2007"	"California"	"06"	"Fresno County, CA"	"06019"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	16	895933	Unreliable
	"2007"	"2007"	"California"	"06"	"Fresno County, CA"	"06019"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	40	895933	4.5
	"2007"	"2007"	"California"	"06"	"Fresno County, CA"	"06019"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	895933	Unreliable
	"2007"	"2007"	"California"	"06"	"Humboldt County, CA"	"06023"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	132001	Unreliable
	"2007"	"2007"	"California"	"06"	"Humboldt County, CA"	"06023"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	132001	Unreliable
	"2007"	"2007"	"California"	"06"	"Kern County, CA"	"06029"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	29	803281	3.6
	"2007"	"2007"	"California"	"06"	"Kern County, CA"	"06029"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	39	803281	4.9
	"2007"	"2007"	"California"	"06"	"Kern County, CA"	"06029"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	39	803281	4.9
	"2007"	"2007"	"California"	"06"	"Kings County, CA"	"06031"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	150420	Unreliable
	"2007"	"2007"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	47	9700359	0.5
	"2007"	"2007"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	278	9700359	2.9
	"2007"	"2007"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	307	9700359	3.2
	"2007"	"2007"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	10	9700359	Unreliable
	"2007"	"2007"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	71	9700359	0.7
	"2007"	"2007"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	16	9700359	Unreliable
	"2007"	"2007"	"California"	"06"	"Marin County, CA"	"06041"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	10	246248	Unreliable
	"2007"	"2007"	"California"	"06"	"Orange County, CA"	"06059"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	27	2931629	0.9
	"2007"	"2007"	"California"	"06"	"Orange County, CA"	"06059"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	86	2931629	2.9
	"2007"	"2007"	"California"	"06"	"Orange County, CA"	"06059"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	101	2931629	3.4
	"2007"	"2007"	"California"	"06"	"Orange County, CA"	"06059"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	14	2931629	Unreliable
	"2007"	"2007"	"California"	"06"	"Orange County, CA"	"06059"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	37	2931629	1.3
	"2007"	"2007"	"California"	"06"	"Placer County, CA"	"06061"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	329023	Unreliable
	"2007"	"2007"	"California"	"06"	"Placer County, CA"	"06061"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	21	329023	6.4
	"2007"	"2007"	"California"	"06"	"Riverside County, CA"	"06065"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	11	2075183	Unreliable
	"2007"	"2007"	"California"	"06"	"Riverside County, CA"	"06065"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	37	2075183	1.8
	"2007"	"2007"	"California"	"06"	"Riverside County, CA"	"06065"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	76	2075183	3.7
	"2007"	"2007"	"California"	"06"	"Riverside County, CA"	"06065"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	64	2075183	3.1
	"2007"	"2007"	"California"	"06"	"Riverside County, CA"	"06065"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	29	2075183	1.4
	"2007"	"2007"	"California"	"06"	"Sacramento County, CA"	"06067"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	21	1381161	1.5
	"2007"	"2007"	"California"	"06"	"Sacramento County, CA"	"06067"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	53	1381161	3.8
	"2007"	"2007"	"California"	"06"	"Sacramento County, CA"	"06067"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	85	1381161	6.2
	"2007"	"2007"	"California"	"06"	"Sacramento County, CA"	"06067"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	25	1381161	1.8
	"2007"	"2007"	"California"	"06"	"San Bernardino County, CA"	"06071"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	94	1992161	4.7
	"2007"	"2007"	"California"	"06"	"San Bernardino County, CA"	"06071"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	1992161	Unreliable
	"2007"	"2007"	"California"	"06"	"San Bernardino County, CA"	"06071"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	24	1992161	1.2
	"2007"	"2007"	"California"	"06"	"San Diego County, CA"	"06073"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	47	2975742	1.6
	"2007"	"2007"	"California"	"06"	"San Diego County, CA"	"06073"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	90	2975742	3.0
	"2007"	"2007"	"California"	"06"	"San Diego County, CA"	"06073"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	128	2975742	4.3
	"2007"	"2007"	"California"	"06"	"San Diego County, CA"	"06073"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	22	2975742	0.7
	"2007"	"2007"	"California"	"06"	"San Diego County, CA"	"06073"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	48	2975742	1.6
	"2007"	"2007"	"California"	"06"	"San Francisco County, CA"	"06075"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	12	778673	Unreliable
	"2007"	"2007"	"California"	"06"	"San Francisco County, CA"	"06075"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	19	778673	Unreliable
	"2007"	"2007"	"California"	"06"	"San Francisco County, CA"	"06075"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	36	778673	4.6
	"2007"	"2007"	"California"	"06"	"San Francisco County, CA"	"06075"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	97	778673	12.5
	"2007"	"2007"	"California"	"06"	"San Francisco County, CA"	"06075"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	19	778673	Unreliable
	"2007"	"2007"	"California"	"06"	"San Joaquin County, CA"	"06077"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	15	668080	Unreliable
	"2007"	"2007"	"California"	"06"	"San Joaquin County, CA"	"06077"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	52	668080	7.8
	"2007"	"2007"	"California"	"06"	"San Joaquin County, CA"	"06077"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	18	668080	Unreliable
	"2007"	"2007"	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	262770	Unreliable
	"2007"	"2007"	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	262770	Unreliable
	"2007"	"2007"	"California"	"06"	"San Mateo County, CA"	"06081"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	693849	Unreliable
	"2007"	"2007"	"California"	"06"	"San Mateo County, CA"	"06081"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	26	693849	3.7
	"2007"	"2007"	"California"	"06"	"San Mateo County, CA"	"06081"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	12	693849	Unreliable
	"2007"	"2007"	"California"	"06"	"Santa Barbara County, CA"	"06083"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	31	411243	7.5
	"2007"	"2007"	"California"	"06"	"Santa Clara County, CA"	"06085"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	24	1712026	1.4
	"2007"	"2007"	"California"	"06"	"Santa Clara County, CA"	"06085"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	43	1712026	2.5
	"2007"	"2007"	"California"	"06"	"Santa Clara County, CA"	"06085"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	34	1712026	2.0
	"2007"	"2007"	"California"	"06"	"Santa Clara County, CA"	"06085"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	15	1712026	Unreliable
	"2007"	"2007"	"California"	"06"	"Santa Cruz County, CA"	"06087"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	22	253304	8.7
	"2007"	"2007"	"California"	"06"	"Shasta County, CA"	"06089"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	30	176548	17.0
	"2007"	"2007"	"California"	"06"	"Solano County, CA"	"06095"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	408243	Unreliable
	"2007"	"2007"	"California"	"06"	"Sonoma County, CA"	"06097"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	467356	Unreliable
	"2007"	"2007"	"California"	"06"	"Sonoma County, CA"	"06097"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	22	467356	4.7
	"2007"	"2007"	"California"	"06"	"Stanislaus County, CA"	"06099"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	15	507834	Unreliable
	"2007"	"2007"	"California"	"06"	"Stanislaus County, CA"	"06099"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	37	507834	7.3
	"2007"	"2007"	"California"	"06"	"Stanislaus County, CA"	"06099"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	507834	Unreliable
	"2007"	"2007"	"California"	"06"	"Tulare County, CA"	"06107"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	422140	Unreliable
	"2007"	"2007"	"California"	"06"	"Ventura County, CA"	"06111"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	44	800027	5.5
	"2007"	"2007"	"California"	"06"	"Ventura County, CA"	"06111"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	20	800027	2.5
	"2007"	"2007"	"Colorado"	"08"	"Adams County, CO"	"08001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	32	415746	7.7
	"2007"	"2007"	"Colorado"	"08"	"Adams County, CO"	"08001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	415746	Unreliable
	"2007"	"2007"	"Colorado"	"08"	"Adams County, CO"	"08001"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	10	415746	Unreliable
	"2007"	"2007"	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	36	542039	6.6
	"2007"	"2007"	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	34	542039	6.3
	"2007"	"2007"	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	10	542039	Unreliable
	"2007"	"2007"	"Colorado"	"08"	"Boulder County, CO"	"08013"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	23	287428	8.0
	"2007"	"2007"	"Colorado"	"08"	"Denver County, CO"	"08031"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	65	564395	11.5
	"2007"	"2007"	"Colorado"	"08"	"Denver County, CO"	"08031"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	37	564395	6.6
	"2007"	"2007"	"Colorado"	"08"	"Denver County, CO"	"08031"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	13	564395	Unreliable
	"2007"	"2007"	"Colorado"	"08"	"El Paso County, CO"	"08041"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	586783	4.1
	"2007"	"2007"	"Colorado"	"08"	"El Paso County, CO"	"08041"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	36	586783	6.1
	"2007"	"2007"	"Colorado"	"08"	"Jefferson County, CO"	"08059"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	524911	4.6
	"2007"	"2007"	"Colorado"	"08"	"Jefferson County, CO"	"08059"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	524911	Unreliable
	"2007"	"2007"	"Colorado"	"08"	"Jefferson County, CO"	"08059"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	17	524911	Unreliable
	"2007"	"2007"	"Colorado"	"08"	"Larimer County, CO"	"08069"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	286112	Unreliable
	"2007"	"2007"	"Colorado"	"08"	"Larimer County, CO"	"08069"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	286112	Unreliable
	"2007"	"2007"	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	48	897498	5.3
	"2007"	"2007"	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	897498	Unreliable
	"2007"	"2007"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	68	884548	7.7
	"2007"	"2007"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	29	884548	3.3
	"2007"	"2007"	"Connecticut"	"09"	"Litchfield County, CT"	"09005"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	19	189866	Unreliable
	"2007"	"2007"	"Connecticut"	"09"	"Middlesex County, CT"	"09007"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	164129	Unreliable
	"2007"	"2007"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	81	853598	9.5
	"2007"	"2007"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	19	853598	Unreliable
	"2007"	"2007"	"Connecticut"	"09"	"New London County, CT"	"09011"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	19	270669	Unreliable
	"2007"	"2007"	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	530555	Unreliable
	"2007"	"2007"	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	36	530555	6.8
