,Year,State,State Code,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,County Name,State_Code
57,2007,California,6.0,"Los Angeles County, CA",6037.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,47.0,9700359.0,0.5,Los Angeles County,CA
58,2007,California,6.0,"Los Angeles County, CA",6037.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,278.0,9700359.0,2.9,Los Angeles County,CA
59,2007,California,6.0,"Los Angeles County, CA",6037.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,307.0,9700359.0,3.2,Los Angeles County,CA
60,2007,California,6.0,"Los Angeles County, CA",6037.0,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,10.0,9700359.0,Unreliable,Los Angeles County,CA
61,2007,California,6.0,"Los Angeles County, CA",6037.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,71.0,9700359.0,0.7,Los Angeles County,CA
62,2007,California,6.0,"Los Angeles County, CA",6037.0,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,16.0,9700359.0,Unreliable,Los Angeles County,CA
63,2007,California,6.0,"Marin County, CA",6041.0,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,10.0,246248.0,Unreliable,Marin County,CA
64,2007,California,6.0,"Orange County, CA",6059.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,27.0,2931629.0,0.9,Orange County,CA
65,2007,California,6.0,"Orange County, CA",6059.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,86.0,2931629.0,2.9,Orange County,CA
66,2007,California,6.0,"Orange County, CA",6059.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,101.0,2931629.0,3.4,Orange County,CA
67,2007,California,6.0,"Orange County, CA",6059.0,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,14.0,2931629.0,Unreliable,Orange County,CA
68,2007,California,6.0,"Orange County, CA",6059.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,37.0,2931629.0,1.3,Orange County,CA
69,2007,California,6.0,"Placer County, CA",6061.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,16.0,329023.0,Unreliable,Placer County,CA
70,2007,California,6.0,"Placer County, CA",6061.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,21.0,329023.0,6.4,Placer County,CA
71,2007,California,6.0,"Riverside County, CA",6065.0,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,11.0,2075183.0,Unreliable,Riverside County,CA
72,2007,California,6.0,"Riverside County, CA",6065.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,37.0,2075183.0,1.8,Riverside County,CA
73,2007,California,6.0,"Riverside County, CA",6065.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,76.0,2075183.0,3.7,Riverside County,CA
74,2007,California,6.0,"Riverside County, CA",6065.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,64.0,2075183.0,3.1,Riverside County,CA
75,2007,California,6.0,"Riverside County, CA",6065.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,29.0,2075183.0,1.4,Riverside County,CA
76,2007,California,6.0,"Sacramento County, CA",6067.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,21.0,1381161.0,1.5,Sacramento County,CA
77,2007,California,6.0,"Sacramento County, CA",6067.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,53.0,1381161.0,3.8,Sacramento County,CA
78,2007,California,6.0,"Sacramento County, CA",6067.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,85.0,1381161.0,6.2,Sacramento County,CA
79,2007,California,6.0,"Sacramento County, CA",6067.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,25.0,1381161.0,1.8,Sacramento County,CA
80,2007,California,6.0,"San Bernardino County, CA",6071.0,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,94.0,1992161.0,4.7,San Bernardino County,CA
81,2007,California,6.0,"San Bernardino County, CA",6071.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12.0,1992161.0,Unreliable,San Bernardino County,CA
82,2007,California,6.0,"San Bernardino County, CA",6071.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,24.0,1992161.0,1.2,San Bernardino County,CA
83,2007,California,6.0,"San Diego County, CA",6073.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,47.0,2975742.0,1.6,San Diego County,CA
84,2007,California,6.0,"San Diego County, CA",6073.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,90.0,2975742.0,3.0,San Diego County,CA
85,2007,California,6.0,"San Diego County, CA",6073.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,128.0,2975742.0,4.3,San Diego County,CA
86,2007,California,6.0,"San Diego County, CA",6073.0,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,22.0,2975742.0,0.7,San Diego County,CA
87,2007,California,6.0,"San Diego County, CA",6073.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,48.0,2975742.0,1.6,San Diego County,CA
88,2007,California,6.0,"San Francisco County, CA",6075.0,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,12.0,778673.0,Unreliable,San Francisco County,CA
89,2007,California,6.0,"San Francisco County, CA",6075.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,19.0,778673.0,Unreliable,San Francisco County,CA
90,2007,California,6.0,"San Francisco County, CA",6075.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,36.0,778673.0,4.6,San Francisco County,CA
91,2007,California,6.0,"San Francisco County, CA",6075.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,97.0,778673.0,12.5,San Francisco County,CA
92,2007,California,6.0,"San Francisco County, CA",6075.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,19.0,778673.0,Unreliable,San Francisco County,CA
93,2007,California,6.0,"San Joaquin County, CA",6077.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,15.0,668080.0,Unreliable,San Joaquin County,CA
94,2007,California,6.0,"San Joaquin County, CA",6077.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,52.0,668080.0,7.8,San Joaquin County,CA
95,2007,California,6.0,"San Joaquin County, CA",6077.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18.0,668080.0,Unreliable,San Joaquin County,CA
96,2007,California,6.0,"San Luis Obispo County, CA",6079.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15.0,262770.0,Unreliable,San Luis Obispo County,CA
97,2007,California,6.0,"San Luis Obispo County, CA",6079.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,262770.0,Unreliable,San Luis Obispo County,CA
98,2007,California,6.0,"San Mateo County, CA",6081.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14.0,693849.0,Unreliable,San Mateo County,CA
99,2007,California,6.0,"San Mateo County, CA",6081.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,26.0,693849.0,3.7,San Mateo County,CA
100,2007,California,6.0,"San Mateo County, CA",6081.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,12.0,693849.0,Unreliable,San Mateo County,CA
101,2007,California,6.0,"Santa Barbara County, CA",6083.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,31.0,411243.0,7.5,Santa Barbara County,CA
102,2007,California,6.0,"Santa Clara County, CA",6085.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,24.0,1712026.0,1.4,Santa Clara County,CA
103,2007,California,6.0,"Santa Clara County, CA",6085.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,43.0,1712026.0,2.5,Santa Clara County,CA
104,2007,California,6.0,"Santa Clara County, CA",6085.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,34.0,1712026.0,2.0,Santa Clara County,CA
105,2007,California,6.0,"Santa Clara County, CA",6085.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,15.0,1712026.0,Unreliable,Santa Clara County,CA
106,2007,California,6.0,"Santa Cruz County, CA",6087.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,22.0,253304.0,8.7,Santa Cruz County,CA
107,2007,California,6.0,"Shasta County, CA",6089.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,30.0,176548.0,17.0,Shasta County,CA
108,2007,California,6.0,"Solano County, CA",6095.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16.0,408243.0,Unreliable,Solano County,CA
109,2007,California,6.0,"Sonoma County, CA",6097.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,13.0,467356.0,Unreliable,Sonoma County,CA
110,2007,California,6.0,"Sonoma County, CA",6097.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,22.0,467356.0,4.7,Sonoma County,CA
111,2007,California,6.0,"Stanislaus County, CA",6099.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,15.0,507834.0,Unreliable,Stanislaus County,CA
112,2007,California,6.0,"Stanislaus County, CA",6099.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,37.0,507834.0,7.3,Stanislaus County,CA
113,2007,California,6.0,"Stanislaus County, CA",6099.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16.0,507834.0,Unreliable,Stanislaus County,CA
114,2007,California,6.0,"Tulare County, CA",6107.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12.0,422140.0,Unreliable,Tulare County,CA
115,2007,California,6.0,"Ventura County, CA",6111.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,44.0,800027.0,5.5,Ventura County,CA
116,2007,California,6.0,"Ventura County, CA",6111.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,20.0,800027.0,2.5,Ventura County,CA
212,2007,Georgia,13.0,"Carroll County, GA",13045.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14.0,108947.0,Unreliable,Carroll County,GA
213,2007,Georgia,13.0,"Chatham County, GA",13051.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12.0,251981.0,Unreliable,Chatham County,GA
214,2007,Georgia,13.0,"Chatham County, GA",13051.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14.0,251981.0,Unreliable,Chatham County,GA
215,2007,Georgia,13.0,"Cherokee County, GA",13057.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12.0,202544.0,Unreliable,Cherokee County,GA
216,2007,Georgia,13.0,"Clayton County, GA",13063.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11.0,260441.0,Unreliable,Clayton County,GA
217,2007,Georgia,13.0,"Cobb County, GA",13067.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,13.0,670438.0,Unreliable,Cobb County,GA
218,2007,Georgia,13.0,"Cobb County, GA",13067.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,28.0,670438.0,4.2,Cobb County,GA
219,2007,Georgia,13.0,"DeKalb County, GA",13089.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,22.0,680962.0,3.2,DeKalb County,GA
220,2007,Georgia,13.0,"DeKalb County, GA",13089.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15.0,680962.0,Unreliable,DeKalb County,GA
221,2007,Georgia,13.0,"Fulton County, GA",13121.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,61.0,869329.0,7.0,Fulton County,GA
222,2007,Georgia,13.0,"Fulton County, GA",13121.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,25.0,869329.0,2.9,Fulton County,GA
223,2007,Georgia,13.0,"Gwinnett County, GA",13135.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18.0,764129.0,Unreliable,Gwinnett County,GA
224,2007,Georgia,13.0,"Gwinnett County, GA",13135.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12.0,764129.0,Unreliable,Gwinnett County,GA
225,2007,Georgia,13.0,"Paulding County, GA",13223.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12.0,131172.0,Unreliable,Paulding County,GA
226,2007,Hawaii,15.0,"Hawaii County, HI",15001.0,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,10.0,177733.0,Unreliable,Hawaii County,HI
227,2007,Hawaii,15.0,"Honolulu County, HI",15003.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,22.0,925335.0,2.4,Honolulu County,HI
228,2007,Hawaii,15.0,"Honolulu County, HI",15003.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,38.0,925335.0,4.1,Honolulu County,HI
229,2007,Hawaii,15.0,"Honolulu County, HI",15003.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15.0,925335.0,Unreliable,Honolulu County,HI
270,2007,Iowa,19.0,"Polk County, IA",19153.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12.0,413024.0,Unreliable,Polk County,IA
271,2007,Iowa,19.0,"Polk County, IA",19153.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,12.0,413024.0,Unreliable,Polk County,IA
272,2007,Kansas,20.0,"Johnson County, KS",20091.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,17.0,523879.0,Unreliable,Johnson County,KS
273,2007,Kansas,20.0,"Sedgwick County, KS",20173.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,17.0,478479.0,Unreliable,Sedgwick County,KS
274,2007,Kansas,20.0,"Sedgwick County, KS",20173.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,32.0,478479.0,6.7,Sedgwick County,KS
306,2007,Maine,23.0,"Cumberland County, ME",23005.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18.0,278781.0,Unreliable,Cumberland County,ME
307,2007,Maine,23.0,"Cumberland County, ME",23005.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13.0,278781.0,Unreliable,Cumberland County,ME
308,2007,Maine,23.0,"York County, ME",23031.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11.0,197594.0,Unreliable,York County,ME
321,2007,Massachusetts,25.0,"Barnstable County, MA",25001.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,30.0,218380.0,13.7,Barnstable County,MA
322,2007,Massachusetts,25.0,"Bristol County, MA",25005.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,51.0,545288.0,9.4,Bristol County,MA
323,2007,Massachusetts,25.0,"Bristol County, MA",25005.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,21.0,545288.0,3.9,Bristol County,MA
324,2007,Massachusetts,25.0,"Essex County, MA",25009.0,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,13.0,730664.0,Unreliable,Essex County,MA
325,2007,Massachusetts,25.0,"Essex County, MA",25009.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,70.0,730664.0,9.6,Essex County,MA
326,2007,Massachusetts,25.0,"Essex County, MA",25009.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,27.0,730664.0,3.7,Essex County,MA
327,2007,Massachusetts,25.0,"Hampden County, MA",25013.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,40.0,461434.0,8.7,Hampden County,MA
328,2007,Massachusetts,25.0,"Hampden County, MA",25013.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16.0,461434.0,Unreliable,Hampden County,MA
329,2007,Massachusetts,25.0,"Hampshire County, MA",25015.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10.0,156842.0,Unreliable,Hampshire County,MA
330,2007,Massachusetts,25.0,"Middlesex County, MA",25017.0,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,13.0,1463106.0,Unreliable,Middlesex County,MA
331,2007,Massachusetts,25.0,"Middlesex County, MA",25017.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,12.0,1463106.0,Unreliable,Middlesex County,MA
332,2007,Massachusetts,25.0,"Middlesex County, MA",25017.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,85.0,1463106.0,5.8,Middlesex County,MA
333,2007,Massachusetts,25.0,"Middlesex County, MA",25017.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,38.0,1463106.0,2.6,Middlesex County,MA
334,2007,Massachusetts,25.0,"Middlesex County, MA",25017.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,12.0,1463106.0,Unreliable,Middlesex County,MA
335,2007,Massachusetts,25.0,"Norfolk County, MA",25021.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,43.0,656582.0,6.5,Norfolk County,MA
336,2007,Massachusetts,25.0,"Norfolk County, MA",25021.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15.0,656582.0,Unreliable,Norfolk County,MA
337,2007,Massachusetts,25.0,"Plymouth County, MA",25023.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,46.0,488251.0,9.4,Plymouth County,MA
338,2007,Massachusetts,25.0,"Plymouth County, MA",25023.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14.0,488251.0,Unreliable,Plymouth County,MA
339,2007,Massachusetts,25.0,"Suffolk County, MA",25025.0,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,10.0,693368.0,Unreliable,Suffolk County,MA
340,2007,Massachusetts,25.0,"Suffolk County, MA",25025.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,86.0,693368.0,12.4,Suffolk County,MA
341,2007,Massachusetts,25.0,"Suffolk County, MA",25025.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,34.0,693368.0,4.9,Suffolk County,MA
342,2007,Massachusetts,25.0,"Worcester County, MA",25027.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,54.0,788280.0,6.9,Worcester County,MA
343,2007,Massachusetts,25.0,"Worcester County, MA",25027.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,17.0,788280.0,Unreliable,Worcester County,MA
376,2007,Minnesota,27.0,"Anoka County, MN",27003.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,13.0,325767.0,Unreliable,Anoka County,MN
377,2007,Minnesota,27.0,"Hennepin County, MN",27053.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,57.0,1126585.0,5.1,Hennepin County,MN
378,2007,Minnesota,27.0,"Hennepin County, MN",27053.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15.0,1126585.0,Unreliable,Hennepin County,MN
379,2007,Minnesota,27.0,"Ramsey County, MN",27123.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,20.0,499605.0,4.0,Ramsey County,MN
380,2007,Minnesota,27.0,"Ramsey County, MN",27123.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,20.0,499605.0,4.0,Ramsey County,MN
381,2007,Mississippi,28.0,"Hancock County, MS",28045.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,41707.0,Unreliable,Hancock County,MS
382,2007,Mississippi,28.0,"Harrison County, MS",28047.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,30.0,179054.0,16.8,Harrison County,MS
383,2007,Mississippi,28.0,"Jackson County, MS",28059.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,39.0,136028.0,28.7,Jackson County,MS
384,2007,Mississippi,28.0,"Rankin County, MS",28121.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,136694.0,Unreliable,Rankin County,MS
